ccn,hospital_name,city,region,total_discharges,avg_payment_per_discharge,readmission_ratio,patient_satisfaction_star,patient_safety_psi90,mortality_30_pneumonia,has_core_readmissions,is_analytic
330202,Kings County Hospital Center,Brooklyn,NYC,902,58663.8,0.9804,2,1.18,14.3,True,True
330204,Bellevue Hospital Center,New York,NYC,918,57873.26,1.0059,2,1.16,10.8,True,True
330231,Queens Hospital Center,Jamaica,NYC,570,56382.92,1.0119,2,0.88,13.7,True,True
330199,Metropolitan Hospital Center,New York,NYC,45,56067.4,0.977,2,0.93,12.3,False,False
330396,Woodhull Medical & Mental Health Center,Brooklyn,NYC,196,51463.12,1.0247,2,1.4,18.0,False,False
330024,Mount Sinai Hospital,New York,NYC,9718,42889.51,0.9057,3,1.03,12.4,True,True
330240,Harlem Hospital Center,New York,NYC,344,41003.44,1.0424,1,1.01,11.7,True,False
330101,New York-Presbyterian Hospital,New York,NYC,27689,37525.72,0.9051,3,0.4,10.9,True,True
330350,Suny Health Science Center At Brooklyn University,Brooklyn,NYC,403,37374.07,1.0285,2,1.05,16.0,False,False
330399,St Barnabas Hospital,Bronx,NYC,395,36821.92,1.0288,2,1.28,15.9,False,False
330270,Hospital For Special Surgery,New York,NYC,3230,36222.62,0.6738,4,0.62,,False,False
330285,Strong Memorial Hospital,Rochester,Upstate,4088,36175.53,0.9583,3,1.33,10.6,True,True
330128,Elmhurst Hospital Center,Elmhurst,NYC,1022,35986.98,0.9799,2,1.13,13.8,True,True
330080,Lincoln Medical & Mental Health Center,Bronx,NYC,330,35369.94,0.9806,2,0.94,13.9,False,False
330127,Jacobi Medical Center,Bronx,NYC,1771,35262.09,1.0097,2,1.14,16.0,True,True
330059,Montefiore Medical Center,Bronx,NYC,9060,33416.87,1.0363,2,1.23,9.2,True,True
330214,Nyu Langone Hospitals,New York,NYC,26286,32594.1,0.856,3,0.67,8.0,True,True
330009,Bronxcare Hospital Center,Bronx,NYC,824,32182.89,1.0893,2,0.89,12.0,True,True
330194,Maimonides Medical Center,Brooklyn,NYC,5865,32040.34,1.0896,2,0.9,11.4,True,True
330119,Lenox Hill Hospital,New York,NYC,4039,30150.12,0.9362,2,0.96,13.5,True,True
330234,Westchester Medical Center,Valhalla,Downstate suburbs,4024,29596.86,0.9628,2,1.22,15.3,True,True
330056,Brooklyn Hospital Center - Downtown Campus,Brooklyn,NYC,714,29531.3,1.0456,2,0.88,16.3,True,True
330233,Brookdale Hospital Medical Center,Brooklyn,NYC,1485,28923.12,1.0123,1,1.51,19.6,True,True
330196,South Brooklyn Health,Brooklyn,NYC,2684,28288.81,1.1079,2,1.08,15.2,True,True
330046,Mount Sinai West,New York,NYC,4907,27951.52,1.0312,2,0.92,11.7,True,True
330193,Flushing Hospital Medical Center,Flushing,NYC,1226,27894.24,0.9947,2,1.02,16.4,True,True
330013,Albany Medical Center Hospital,Albany,Upstate,5638,27422.37,0.9571,2,1.22,17.6,True,True
330395,St John's Episcopal Hospital At South Shore,Far Rockaway,NYC,1507,26541.01,1.1635,2,1.26,25.8,True,True
330014,Jamaica Hospital Medical Center,Jamaica,NYC,932,26347.05,1.0579,2,1.48,16.4,True,True
330028,Richmond University Medical Center,Staten Island,NYC,1265,26238.24,1.0749,2,1.08,14.2,True,True
330106,North Shore University Hospital,Manhasset,Upstate,12259,25750.05,0.9858,3,0.94,12.0,True,True
330393,Stony Brook University Hospital,Stony Brook,Downstate suburbs,13318,24740.28,0.9278,3,1.06,12.9,True,True
330005,Kaleida Health,Buffalo,Upstate,4764,24079.58,1.0028,3,1.44,10.8,True,True
330055,New York-Presbyterian/Queens,Flushing,NYC,4779,23869.03,0.9386,3,0.62,12.8,True,True
330006,St Joseph's Medical Center,Yonkers,Downstate suburbs,202,23043.16,1.0297,1,0.91,14.9,False,False
330023,Vassar Brothers Medical Center,Poughkeepsie,Upstate,5764,22952.47,1.0495,3,1.08,13.1,True,True
330241,University Hospital S U N Y Health Science Center,Syracuse,Upstate,4413,22620.03,0.9613,3,1.48,12.2,True,True
330043,South Shore University  Hospital,Bay Shore,Downstate suburbs,4520,22190.57,0.9896,3,0.98,12.9,True,True
330125,Rochester General Hospital,Rochester,Upstate,2545,22166.21,1.0619,2,1.75,13.0,True,True
330160,Staten Island University Hospital,Staten Island,NYC,7127,22156.82,1.0219,2,1.12,14.3,True,True
330140,St Joseph's Hospital Health Center,Syracuse,Upstate,3097,22143.23,1.0793,3,1.18,16.8,True,True
330195,Long Island Jewish Medical Center,New Hyde Park,Upstate,10061,21814.07,1.0239,3,1.03,12.3,True,True
330221,Wyckoff Heights Medical Center,Brooklyn,NYC,623,21650.65,0.991,2,0.97,16.9,True,True
